date,logreturns
7/8/15,-0.000103405
7/7/15,0.017648374
7/6/15,-0.002350889
7/2/15,0.003328046
7/1/15,-0.000938774
6/30/15,-0.007357848
6/29/15,-0.003851146
6/26/15,0.023561187
6/25/15,0.006607946
6/24/15,0.002343282
6/23/15,0.005321096
6/22/15,-0.001033787
6/19/15,-0.006761303
6/18/15,0.004075064
6/17/15,-0.01397005
6/16/15,-0.002931134
6/15/15,-0.005170552
6/12/15,0.00469691
6/11/15,0.007756467
6/10/15,-0.000670832
6/9/15,-0.012981119
6/8/15,0.000882705
6/5/15,0.010252977
6/4/15,0.002195395
6/3/15,0.007290007
6/2/15,-0.002430016
6/1/15,0.002870199
5/29/15,-0.003012151
5/28/15,0.006061556
5/27/15,0.002290316
5/26/15,-0.016210542
5/22/15,0.012044429
5/21/15,0.000510124
5/20/15,-0.005350453
5/19/15,-0.00035076
5/18/15,0.00204732
5/15/15,-0.00414334
5/14/15,0.000166864
5/13/15,-0.015351808
5/12/15,-0.001336015
5/11/15,0.004061279
5/8/15,0.004498006
5/7/15,-0.012889278
5/6/15,-0.004965106
5/5/15,0.006744713
5/4/15,0.016469108
5/1/15,-0.000792263
4/30/15,-0.014575259
4/29/15,0.016602646
4/28/15,0.006024396
4/27/15,0.002159221
4/24/15,0.002593302
4/23/15,-0.013248695
4/22/15,-0.003638451
4/21/15,-0.005581803
4/20/15,-0.004197273
4/17/15,-0.014961735
4/16/15,0.015285403
4/15/15,0.001289103
4/14/15,-0.006093751
4/13/15,0.002625228
4/10/15,0.00290107
4/9/15,-0.00409474
4/8/15,-0.006375941
4/7/15,-0.007311926
4/6/15,0.001587108
4/2/15,-0.008069743
4/1/15,-0.00110116
3/31/15,0.005189168
3/30/15,0.01127298
3/27/15,-0.011464521
3/26/15,-0.004070254
3/25/15,0.003245979
3/24/15,0.023217222
3/23/15,0.003280568
3/20/15,0.002920012
3/19/15,-0.007139865
3/18/15,-0.000976346
3/17/15,-0.010656923
3/16/15,-0.001177669
3/13/15,-0.012796406
3/12/15,0.004931158
3/11/15,-0.007139904
3/10/15,0.005489645
3/9/15,0.019197416
3/6/15,-0.003122939
3/5/15,0.011937385
3/4/15,-0.001506055
3/3/15,0.00301433
3/2/15,0.005428432
2/27/15,-0.009498352
2/26/15,0.004852339
2/25/15,-0.004870355
2/24/15,0.00234828
2/23/15,-0.000346047
2/20/15,-0.001448405
2/19/15,-0.007044708
2/18/15,-0.004759874
2/17/15,-0.001269335
2/13/15,-0.000298767
2/12/15,-0.008259323
2/11/15,-0.011726805
2/10/15,-0.003760599
2/9/15,-0.015313507
2/6/15,0.002981729
2/5/15,0.006482157
2/4/15,-0.008252597
2/3/15,0.001881579
2/2/15,-0.009636865
1/30/15,-0.009634212
1/29/15,0.007904211
1/28/15,-0.00984659
1/27/15,0.006048745
1/26/15,0.026116193
1/23/15,0.000565826
1/22/15,-0.001820203
1/21/15,-0.018498717
1/20/15,-0.004993255
1/16/15,-0.006993599
1/15/15,-0.012753171
1/14/15,0.01364603
1/13/15,0.004898928
1/12/15,0.000904492
1/9/15,0.0103326
1/8/15,0.006451536
1/7/15,-0.019177904
1/6/15,-0.01189012
1/5/15,0.012120862
1/2/15,0.016512912
12/31/14,0.001426797
12/30/14,0.010816399
12/29/14,0.007048321
12/26/14,0.000338482
12/24/14,-0.007211682
12/23/14,-0.000887602
12/22/14,0.0033524
12/19/14,-0.002773034
12/18/14,-0.003277368
12/17/14,-0.024351158
12/16/14,-0.018293119
12/15/14,0.016445118
12/12/14,0.010020798
